source_file,original_section,topic_file,topic_title
Interview_Prep_Topics_and_Questions.md,1. Core GenAI & Agentic AI,06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
Interview_Prep_Topics_and_Questions.md,"2. RAG, Retrieval, Chunking & Vector Search",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
Interview_Prep_Topics_and_Questions.md,"3. LLM Evaluation, Hallucination & Model Comparison",06_GenAI_LLMs_Prompting_Agents_RAG_and_Evaluation.md,"GenAI, LLMs, Prompting, Agents, RAG & Evaluation"
Interview_Prep_Topics_and_Questions.md,4. Python Internals & Concurrency,02_Python_Core_Advanced_and_Coding_Problems.md,"Python Core, Advanced Concepts & Coding Problems"
Interview_Prep_Topics_and_Questions.md,5. FastAPI & Backend API Design,03_Backend_APIs_FastAPI_Flask_REST_gRPC_GraphQL.md,"Backend APIs, FastAPI, Flask, REST, gRPC & GraphQL"
Interview_Prep_Topics_and_Questions.md,"6. Production Monitoring, Usage Tracking & Reliability",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
Interview_Prep_Topics_and_Questions.md,"7. AWS, CI/CD, Docker & Kubernetes",09_Cloud_DevOps_Docker_Kubernetes_CICD.md,"Cloud, DevOps, Docker, Kubernetes & CI/CD"
Interview_Prep_Topics_and_Questions.md,8. Machine Learning Fundamentals,07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
Interview_Prep_Topics_and_Questions.md,"9. TensorFlow, PyTorch & Scikit-learn",07_Machine_Learning_Deep_Learning_Modeling_and_Validation.md,"Machine Learning, Deep Learning, Modeling & Validation"
Interview_Prep_Topics_and_Questions.md,"10. Big Data, PySpark & Data Engineering",08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
Interview_Prep_Topics_and_Questions.md,11. SQL Interview Patterns,04_Databases_SQL_ORM_Caching_and_Idempotency.md,"Databases, SQL, ORM, Caching & Idempotency"
Interview_Prep_Topics_and_Questions.md,"12. Document Parsing, OCR & PDF Processing",08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
Interview_Prep_Topics_and_Questions.md,"13. Testing, Quality Engineering & AI QA",10_Testing_QA_Security_Observability_and_Reliability.md,"Testing, QA, Security, Observability & Reliability"
Interview_Prep_Topics_and_Questions.md,14. Data Visualization,08_Data_Engineering_ETL_Big_Data_and_Analytics.md,"Data Engineering, ETL, Big Data & Analytics"
